district,crop_flooded_ha,paddy_yield_t_ha,paddy_share,msp_inr_per_t,crop_var_inr_v2,crop_var_inr_v1,yield_source_year
Firozpur,11966.9,6.477,1.0,23200,1798266670.0,1804608520.0,2022-23
Kapurthala,5542.0,6.411,1.0,23200,824236393.0,835733600.0,2022-23
Tarn Taran,4725.5,6.283,1.0,23200,688803803.0,712605400.0,2022-23
Amritsar,3718.7,5.337,1.0,23200,460444914.0,560779960.0,2022-23
Gurdaspur,3668.5,5.261,1.0,23200,447733839.0,553209800.0,2022-23
Jalandhar,2902.2,6.261,1.0,23200,421585868.0,437651760.0,2022-23
Moga,1724.5,7.59,1.0,23200,303666377.0,260054600.0,2022-23
Ludhiana,439.0,7.164,1.0,23200,72962207.0,66201200.0,2022-23
Patiala,405.0,6.203,1.0,23200,58282551.0,61074000.0,2022-23
Muktsar,304.6,6.18,1.0,23200,43674647.0,45933680.0,2022-23
Hoshiarpur,239.8,4.722,1.0,23200,26271422.0,36161840.0,2022-23
Sangrur,128.8,7.757,1.0,23200,23179760.0,19423040.0,2022-23
Mansa,110.2,7.043,1.0,23200,18005790.0,16618160.0,2022-23
Nawanshahr,132.0,5.333,1.0,23200,16332800.0,19905600.0,2022-23
Bathinda,77.0,7.121,1.0,23200,12720335.0,11611600.0,2022-23
Barnala,27.5,7.873,1.0,23200,5023205.0,4147000.0,2022-23
Faridkot,31.6,6.717,1.0,23200,4924365.0,4765280.0,2022-23
Rupnagar,34.8,5.478,1.0,23200,4422671.0,5247840.0,2022-23
Fatehgarh Sahib,7.3,6.041,1.0,23200,1023136.0,1100840.0,2022-23
Sahibzada Ajit Singh Nagar,8.9,4.536,1.0,23200,936534.0,1342120.0,2022-23
