district,crop_flooded_ha,crop_ha_1_2d,crop_ha_3_6d,crop_ha_7_13d,crop_ha_14plus_d,damage_weighted_inr,naive_value_inr,damage_fraction
Gurdaspur,20507.2,17649.0,1836.3,858.0,163.9,478348879,3092485213,0.155
Firozpur,15313.7,4668.0,4396.8,3534.4,2714.5,1084893223,2309303533,0.47
Kapurthala,10048.3,4912.4,2222.1,1751.5,1162.4,551530024,1515281276,0.364
Amritsar,8905.6,6997.7,1453.7,316.4,137.8,236428351,1342958887,0.176
Tarn Taran,6563.7,1813.6,996.9,1808.4,1944.7,564129723,989801284,0.57
Jalandhar,6274.5,5136.6,606.7,317.5,213.6,175207772,946187467,0.185
Sangrur,3728.4,3559.9,107.5,56.4,4.5,65992884,562235191,0.117
Mansa,2603.1,2545.9,53.4,3.8,0.0,41609344,392547010,0.106
Patiala,2580.1,2511.8,53.2,13.5,1.5,42341060,389072735,0.109
Moga,2231.3,1463.5,503.4,219.5,44.8,78563194,336472527,0.233
Hoshiarpur,1786.2,1228.8,271.9,191.5,94.0,67275441,269360444,0.25
Ludhiana,1379.9,963.9,211.7,146.2,58.1,49900414,208091299,0.24
Bathinda,987.7,982.5,3.7,1.5,0.0,15170633,148952071,0.102
Barnala,860.2,852.7,4.5,3.0,0.0,13409579,129711463,0.103
Nawanshahr,626.1,391.8,120.4,113.9,0.0,24284166,94419048,0.257
Sahibzada Ajit Singh Nagar,477.9,472.7,5.2,0.0,0.0,7401589,72064499,0.103
Rupnagar,297.8,283.8,12.5,1.5,0.0,5093227,44903403,0.113
Muktsar,225.7,186.9,20.1,16.4,2.2,5945912,34028760,0.175
Faridkot,42.2,37.8,2.2,2.2,0.0,921108,6364600,0.145
Fatehgarh Sahib,15.6,8.9,6.7,0.0,0.0,486286,2348738,0.207
