district,seasons_with_fraction_gt1pct,seasons_with_fraction_gt2pct,max_season_fraction,mean_annual_flooded_ha
Sangrur,11,11,0.278087,51245.92
Firozpur,11,10,0.197302,53552.14
Tarn Taran,11,10,0.231905,23843.68
Barnala,11,10,0.21264,13633.94
Faridkot,10,10,0.226314,9406.08
Moga,10,9,0.457918,34803.49
Ludhiana,11,9,0.192014,33858.44
Kapurthala,11,9,0.313339,21939.31
Amritsar,10,9,0.207235,20128.71
Jalandhar,9,9,0.190516,17052.56
Fatehgarh Sahib,9,9,0.261264,13485.98
Nawanshahr,10,9,0.146956,7262.26
Patiala,10,8,0.327775,41683.84
Muktsar,10,8,0.125478,11136.76
Gurdaspur,9,7,0.120066,17594.57
Mansa,10,7,0.104557,8596.35
Bathinda,5,5,0.114665,10705.51
Hoshiarpur,6,3,0.033851,4760.83
Rupnagar,7,3,0.039194,2051.86
Sahibzada Ajit Singh Nagar,3,2,0.026502,877.92
