year,cls_n,cls_n_pos,cls_base_rate,cls_pr_auc,cls_roc_auc,cls_f1,cls_precision,cls_recall,reg_n,reg_mae,reg_spearman
2015,140,0,0.0,,,,,,140,0.0009877444483414662,0.2063934341241475
2016,140,0,0.0,,,,,,140,0.0011854025113844236,0.2316524571388551
2017,140,0,0.0,,,,,,140,0.0004992932388345508,0.36743136143660654
2018,140,0,0.0,,,,,,140,0.0016579304935131914,0.37689824055537596
2019,140,2,0.014285714285714285,0.05185185185185185,0.7807971014492754,0.0,0.0,0.0,140,0.002151248987631539,0.4420731803979455
2020,140,0,0.0,,,,,,140,0.00026686136803353704,0.45570128697343115
2021,140,0,0.0,,,,,,140,0.00046538797693439535,0.43152280010596694
2022,140,0,0.0,,,,,,140,0.0004975654611769877,0.40381848982090907
2023,140,11,0.07857142857142857,0.5922141264532569,0.9295278365045806,0.0,0.0,0.0,140,0.003961993682241161,0.8618206714476234
2024,140,0,0.0,,,,,,140,0.0002374486589696562,0.615131647559201
2025,140,14,0.1,0.5121951293760606,0.8973922902494331,0.4,0.6666666666666666,0.2857142857142857,140,0.00717983712177854,0.25581916606468363
POOLED,1540,27,0.01753246753246753,0.26871129603879135,0.9458887175344545,0.23529411764705882,0.5714285714285714,0.14814814814814814,1540,0.001735519449894495,0.5222873970343297
