district,pop_exposed_rf,pop_exposed_gfm
Gurdaspur,9806.9,63001.4
Firozpur,20486.9,24167.2
Amritsar,10274.5,19551.7
Jalandhar,6136.1,14445.3
Kapurthala,4866.9,11501.0
Sangrur,951.3,10748.9
Tarn Taran,6359.2,9561.4
Patiala,1068.2,5361.8
Mansa,991.4,3789.8
Moga,3244.6,3400.6
Hoshiarpur,1267.4,3104.9
Sahibzada Ajit Singh Nagar,260.6,1890.6
Ludhiana,1307.3,1719.6
Barnala,192.6,1541.2
Muktsar,1576.4,1058.7
Nawanshahr,741.4,1053.6
Bathinda,4069.2,829.9
Rupnagar,2564.5,805.6
Faridkot,229.9,71.1
Fatehgarh Sahib,64.4,25.6
