district,area_ha,production_t,rice_yield_t_ha,yield_t_ha,year,source_url
Amritsar,181000,644000,3.558,5.337,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
Barnala,114500,601000,5.249,7.873,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
Bathinda,189800,901000,4.747,7.121,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
Faridkot,115900,519000,4.478,6.717,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
Fatehgarh Sahib,87400,352000,4.027,6.041,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
Fazilka,108200,379000,3.503,5.254,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
Firozpur,187300,897000,4.789,7.184,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
Gurdaspur,173200,631000,3.643,5.465,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
Hoshiarpur,81000,255000,3.148,4.722,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
Jalandhar,175600,733000,4.174,6.261,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
Kapurthala,119100,509000,4.274,6.411,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
Ludhiana,258800,1236000,4.776,7.164,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
Malerkotla,52900,277000,5.236,7.854,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
Mansa,126300,593000,4.695,7.043,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
Moga,183200,927000,5.06,7.59,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
Muktsar,183000,754000,4.12,6.18,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
Nawanshahr,63000,224000,3.556,5.333,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
Pathankot,30100,82000,2.724,4.086,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
Patiala,233600,966000,4.135,6.203,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
Rupnagar,40800,149000,3.652,5.478,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
SAS Nagar,42000,127000,3.024,4.536,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
Sangrur,238700,1231000,5.157,7.736,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
Tarn Taran,182400,764000,4.189,6.283,2022-23,https://data.desagri.gov.in/website/crops-apy-report-web
