district,tierA_flooded_ha,rf_flooded_ha,crop_flooded_ha,fraction,crop_var_inr
Firozpur,10997.4,14095.6,11966.9,0.0271,1804608519.9999998
Gurdaspur,4162.6,8099.2,3668.5,0.02239,553209800.0
Kapurthala,4689.9,6596.6,5542.0,0.03974,835733600.0
Tarn Taran,4545.7,6355.3,4725.5,0.02658,712605400.0
Amritsar,3310.5,4594.3,3718.7,0.01729,560779960.0
Jalandhar,3047.2,4130.2,2902.2,0.01586,437651760.0
Moga,1859.8,2268.8,1724.5,0.00968,260054600.0
Ludhiana,712.0,1620.8,439.0,0.00452,66201200.0
Hoshiarpur,161.2,1105.7,239.8,0.00329,36161840.0
Nawanshahr,74.5,926.6,132.0,0.00713,19905600.0
Rupnagar,96.4,806.8,34.8,0.00583,5247840.0
Patiala,234.1,494.9,405.0,0.00149,61074000.0
Muktsar,0.0,337.8,304.6,0.0013,45933680.0
Bathinda,17.0,245.4,77.0,0.00073,11611600.0
Mansa,4.1,180.6,110.2,0.00082,16618160.000000002
Sangrur,25.9,164.4,128.8,0.00046,19423040.0
Sahibzada Ajit Singh Nagar,0.0,92.3,8.9,0.00083,1342120.0
Faridkot,0.0,54.3,31.6,0.00037,4765280.0
Barnala,0.0,40.5,27.5,0.00027,4147000.0
Fatehgarh Sahib,0.0,13.0,7.3,0.00011,1100840.0
